NAME,POPOS_ADDRESS,HOURS,TYPE,LANDSCAPING,SEATING_No,FOOD_SERVICE,Art,RESTROOMS,Accessibility,LOCATION,YEAR,SOURCE,Food,Seating,Description,Seating_and_Tables,Hours_Type,Subject_To_Downtown_PLN,Signage,Amenities,BLOCK_NUM,LOT_NUM,PARCEL_NUM,Restroom,Indoor,Special_Amenities,Map ID,the_geom,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,:@computed_region_rxqg_mtj9,:@computed_region_yftq_j783,:@computed_region_jx4q_fizf,:@computed_region_bh8s_q3mv,Neighborhoods
Foundry Square SW (indoor),505-525 Howard St (200 1st St),"8AM - 6PM, M-F",Indoor Park,8 trees,"25 movable seats, 6 tables, 47 linear bench seats",Yes- Café,No,Yes,Direct,Near main building entrance facing the outdoor POPOS.,,,Y,Y,,,Open Business Hours,Yes,Yes (2),Café area with wifi,3736,114,3736114,true,true,true,73,POINT (-122.3961 37.7882),32,1,10,8,9,6,2,28855,32
Spear Street Plaza,160 Spear St,Open at all times,Urban Garden,"Diverse grasses, trees, and green wall.",Ledges around green spaces and 28 movable chairs around 7 tables.,Yes,Yes,No,Very Direct,Outdoor alleyway off of Spear Street,1983,,Y,Y,Well landscaped walkway with seating and tables.,,Open At All Times,No,None,,3717,005,3717005,true,,,44,POINT (-122.3933711 37.79154685),108,1,10,8,9,12,2,28855,108
456 Montomery St,456 Montgomery St,Open at all times,Plaza,"Few spare plantings, water feature","72' linear seating, 8 movable chairs and 2 tables",No,Yes,No,Indirect,,1983,,,Y,"This is a sunken plaza, landscaped with flowers and small water fountains. Escalators are provided to this space.",,Open At All Times,No,None,,0239,012,0239012,,,,41,POINT (-122.4027974 37.79363998),108,6,3,8,10,4,1,28860,108
Rincon Center,121 Spear St,Open at all times,Indoor Park,"Decomposed granite, trees in corners, minimal plants.","78 on benches and chairs. Also, the café provides some of its own seating.",Café,Yes,No,Indirect,In the courtyard between 1 and 2 rincon center,1989,,Y,Y,This large plaza space is found in the interior courtyard between Rincon Center 1 and Rincon Center 2. It features several art sculptures and different types of seating.,,Open Business Hours,Yes,None,,3716,021,3716021,true,,,27,POINT (-122.39259 37.79208),108,1,10,8,9,12,2,28855,108
425 Market St,425 Market St,Open at all times,Urban Garden,"15 trees, 12 large planters with flowers","8 backed benches at 7'8""; 4 6' benches",Yes,No,No,Direct,,1973,,Y,Y,"An open plaza between buildings with benches, trees and some landscape materials.",,Open At All Times,No,None,,3709,014,3709014,,,,56,POINT (-122.3985102 37.79111153),108,6,10,8,9,12,2,28855,108
345 California St - East B,345 California St,Open at all times,Snippet,Planters with a few trees,"15 chairs, 5 tables, 50' linear seating",Sandwich shop and café,No,No,Direct,"Two snippets on either side of building main entrance, connected by walkway.",1986,,Y,Y,"Two snippets can be found on the west and east sides of the building, connected by an interior walkway. The west snippet can be entered from Sansome Street, next to the Mandarin Hotel. There is a bench and bamboo in planters. The east snippet is on the Battery Street side, served by a cafe which has several tables in front, and no plants.",Y,Open At All Times,Yes,None,,0261,017,0261017,,,,24,POINT (-122.40005 37.79286),108,6,3,8,10,4,1,28854,108
Marriott Courtyard - C,299 2nd St,,Interior courtyard area - does not appear to be public (see notes),Trees and flowers,42 chairs with tables,"Restaurant service nearby, starbucks outside",Yes,"Yes, hotel",Indirect,Inside the hotel courtyard.,2001,,Y,Y,This space features extensive landscaping with several art attractions. Comfortable seating arrangements are located throughout the space. Food service nearby inside the hotel.,Y,Open Business Hours,Yes,none,,,,,true,,,9,POINT (-122.39669 37.78611),32,1,10,8,9,6,2,28855,32
Hampton Inn,942 Mission Street,"10AM-5PM, M-F",View Terrace,"6 empty planters, great views of skyline","Yes- 6 benches, with a capacity of 74 persons, 4 tables.",No,No,Yes,Indirect,"Accessible through elevator (check-in at front desk), located at the rooftop.",,,,Y,"Rooftop sun and view terrace, with 360 degree views of the city; with limited seating benches.",,Open Business Hours,Yes,Yes,,3704,015,3704015,true,,,76,POINT (-122.407839 37.78219483),32,5,10,34,9,14,2,28853,32
100 Pine St,100 Pine St,,Urban Gardem,Planting and flowers,,Yes.,,,,,1972,,Y,Y,"This Urban Garden is either accessed through the front entrance of the building or a narrow walkway on Front Street. This space offers water fountains, landscaping, and art.",Y,Open Business Hours,No,,,,,,,,,59,POINT (-122.3991592 37.79273921),108,6,3,8,10,4,1,28860,108
1 Market St,1 Market St,Open at all times,Plaza and Atrium,,16 small benches,"Several restaurants and cafes located within One Market Plaza, open M-F business hours",Yes,"Yes, inside One Market Plaza at Mission St. entrance",Indirect,Located along Mission Street at One Market Plaza entrance.,1976,,Y,Y,Plaza located on Mission Street along the rear of the building. Some planters with benches.,,Open At All Times,No,None,,3717,007,3717007,true,true,,37,POINT (-122.39372 37.793),108,6,10,8,9,12,2,28855,108
Westfield Sky Terrace (Wesfield Center Mall),845 Market St,9AM-5PM M-F,Sun Terrace,Wall planters and 15 basic planters. Great views.,"32 tables, 47 movable chairs, 11 movable cushioned chairs, 15 cushioned bench seats","None, but food on the premises",No,No,Very indirect,"Roof top, 9th floor. Accessible by elevator in 835 Market St (only 1st elevator goes to 9th floor).",2006,,Y,Y,"This extensive 9th floor rooftop space looks onto the dome of the mall and has views westward and sunlight. It does not have direct food service, but food may be found in the food court below in the mall.",,Open Business Hours,Yes,Yes,,3705,054,3705054,true,,,31,POINT (-122.40652 37.78473),32,5,10,34,9,12,2,28853,32
333 Market St,333 Market St,Open at all times,Plaza,"1 large tree and shrub planters, mostly concrete",105' linear seating,Yes,No,No,Direct,,1979,,Y,Y,Open plaza with minimal seating on the edge of planters.,,Open At All Times,No,None,,3710,020,3710020,true,,,52,POINT (-122.3977907 37.79175429),108,6,10,8,9,12,2,28855,108
235 Second St,235 Second St,"8AM - 6PM, M-F","Plaza, Indoor Park","Bamboo and street trees protect space from side street, defines space. Indoor park has bushes and interesting paving.",42 chairs and 15 tables,2 restaurants on plaza portion,Yes,No,Direct for plaza. Indirect for indoor park,"Urban garden: corner of 2nd and Clementina, indoor park ground floor.",2002,,Y,Y,"This plaza is located on the corner of 2nd St. and Clementina St. It features several types of seating, served by a cafe.",Y,Open Business Hours,Yes,Yes.,,3736,123,3736123,,true,,5,POINT (-122.39721 37.78618),32,1,10,8,9,6,2,28855,32
135 Main St,135 Main St,Unknown. Security would not disclose hours.,Indoor Park,"Waterfall on glass, some white noise effect.","Ample indoor seating: four tables with movable chairs, seven lounge sofas",No,Yes,No,Indirect,"Located in main lobby waiting area, at building's main entrance.",1982,,,Y,Interior lobby with seating open business hours only.,,Open Business Hours,No,None,,3717,012,3717012,,true,,48,POINT (-122.394112 37.79142819),108,1,10,8,9,12,2,28855,108
120 Howard St,120 Howard St,"8AM - 6PM, M-F","Uban Garden, Snippet",plants,None.,Cart,No,No,Direct,Interior courtyard between the building and the building adjacent to the east,"existed before, updates conditioned 2006",,Y,Y,This space features plants along the entirety of the snippet and is served by an espresso cart.,,Open Business Hours,Yes,None,,3717,019,3717019,true,,,16,POINT (-122.39305 37.79107),108,1,10,8,9,12,2,28855,108
201 Mission St,201 Mission St,,Urban Garden,,,,,,,,1960,,,,Initially hidden from street view there is seating along the building setback area to the right as you walk toward the door.,,Open At All Times,No,None,,,,,,,,69,POINT (-122.3951609 37.79096222),108,1,10,8,9,12,2,28855,108
555 California St,555 California St,Open at all times,Urban Garden,"Tall grasses and shrubs, central pool surrounded by plants.",Yes- 24 small wooden bench seats located at elevated plaza's eastern edge.,No,No,No,Direct,Located at the elevated plaza along California Street.,1969,,,Y,,,Open At All Times,No,None,,0259,026,0259026,true,,,63,POINT (-122.4039511 37.7924598),108,6,3,8,10,4,1,28854,108
